Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2021-02-18,267.7394714355469,270.28378397849195,264.4000422663077,267.9183613024888,15249100
2021-02-19,259.9574279785156,268.61405359983115,258.5560633628881,268.2065620167964,25622600
2021-02-22,258.73492431640625,261.45815674620235,255.95209226836045,256.3695322408646,17434900
2021-02-23,264.2310485839844,265.82125137404944,253.39785463351936,257.910031164985,21924600
2021-02-24,262.6905822753906,264.7479067592774,256.80687083014135,260.7227027259426,15736100
2021-02-25,253.1295166015625,265.304460842189,252.4834900528808,260.6928755670529,19053100
2021-02-26,256.04156494140625,263.92297078398195,254.89861702389317,254.89861702389317,26619500
2021-03-01,263.28692626953125,265.016255755827,256.31986614044337,259.22198893469823,22157300
2021-03-02,257.4131164550781,265.0758690739727,257.0652548261814,264.1515744293655,15191700
2021-03-03,253.84512329101562,259.3909216508671,253.53702506716826,258.69522870339836,15513500
2021-03-04,256.0614929199219,264.8572460327769,251.94684352030976,254.89864798897887,31626500
2021-03-05,262.6607666015625,263.8236114073833,254.04388913823584,259.0728994748729,26820100
2021-03-08,253.7457275390625,263.9527929067016,253.4873260039714,263.92297792824104,18391800
2021-03-09,264.11181640625,266.88473072726873,258.21815645881406,259.57975769372405,22039700
2021-03-10,263.27691650390625,267.3219863535015,261.2593557963404,266.9940216527256,14210300
2021-03-11,272.20196533203125,276.19732421411857,266.179096864279,266.4672982208543,21834000
2021-03-12,266.7554931640625,268.08727927464605,262.4023247991397,267.49097977035143,20600200
2021-03-15,272.0727233886719,274.2691741424575,266.8548903373823,267.43132330996735,16844800
2021-03-16,277.56884765625,280.41134018183647,273.1162857384696,274.3884419534645,22437700
2021-03-17,282.2698974609375,284.47629686724065,273.7225830792857,274.02073286502986,21315000
2021-03-18,276.9129333496094,283.4426872515597,276.5750201168788,278.1552747922665,18728300
2021-03-19,288.3324890136719,291.00600988005505,279.47710704295326,279.49697358445803,38930500
2021-03-22,291.7414855957031,297.8736649508509,284.99307950985985,288.67042170029026,28273100
2021-03-23,288.8492736816406,296.17411179494974,288.0342906584331,291.35382236572553,23000900
2021-03-24,280.411376953125,289.932668108046,279.43737037540546,289.2170782476114,18675000
2021-03-25,277.0321960449219,286.2951012133266,276.04827131829285,279.2584925572306,24505600
2021-03-26,281.2859191894531,282.7568621152536,276.06808605727355,276.59483752215544,17629200
2021-03-29,289.03814697265625,291.38367264392747,282.9556491953231,284.0190702313811,21718800
2021-03-30,286.2354431152344,290.6780569351427,284.94342026118994,288.05421748123223,17474500
2021-03-31,292.7254638671875,294.683395227454,286.84172134888433,288.2132711778815,19498200
2021-04-01,296.8301696777344,300.54724569142974,294.782793338903,296.57175294331404,17616000
2021-04-05,307.017333984375,308.86592333763963,298.8377476915064,299.0464828744356,28237000
2021-04-06,304.3835754394531,309.4423857147043,303.37975393521896,306.9477546088229,17335200
2021-04-07,311.1717529296875,312.3246494679528,303.62825906908375,304.46310890770286,22855200
2021-04-08,311.10211181640625,313.9446043342857,308.150307828522,312.9209163697654,20894100
2021-04-09,310.5455627441406,312.8115920705688,308.42860830814885,309.492059744259,15988600
2021-04-12,309.6312561035156,310.23750417897526,306.04335818524726,309.1442376250458,10881900
2021-04-13,307.86212158203125,312.5034916787082,307.42481501939557,310.2970923238093,14036900
2021-04-14,300.9646301269531,306.14269998137775,300.09996546701126,305.417161769982,17421400
2021-04-15,305.9340515136719,308.23984458543947,302.2368420470799,304.4631082787989,14558300
2021-04-16,304.3040771484375,307.05712521592756,302.74368900636,306.28190536359,13059200
2021-04-19,300.38818359375,305.8147523329705,298.71848413426613,303.1412313782809,14553500
2021-04-20,300.7956848144531,303.23068601874786,295.38901277495273,300.1397249349623,16796400
2021-04-21,299.6229248046875,300.129809791707,295.5679359003317,300.0999948119176,14863500
2021-04-22,294.7032470703125,301.0640593124394,294.2262073835734,299.4837743583143,16375400
2021-04-23,299.2850036621094,300.73604985775415,295.32937790810325,296.9295293293451,17536800
2021-04-26,301.18328857421875,303.92635748553096,299.7123455851111,301.48143834807956,16172600
2021-04-27,301.7100524902344,303.46919688967347,299.2651029214697,302.41569387117113,15309300
2021-04-28,305.21844482421875,309.01504746681906,303.499033387288,305.47683121366316,33907200
2021-04-29,327.4911193847656,329.7770152743211,319.63949800194774,328.09736738838046,56526800
2021-04-30,323.0882263183594,327.79920503350183,322.51179331521564,324.14175961823815,26332400
